Date,Price,Open,High,Low,Vol.,Change %
2020-05-01,35.55,26.98,36.98,25.5,28.96K,83.91%
2020-04-01,19.33,26,36.4,15.98,637.21K,-15.00%
2020-03-01,22.74,48.95,53.9,21.65,7.36M,-54.99%
2020-02-01,50.52,56.16,60,50.05,5.27M,-13.14%
2020-01-01,58.16,66.41,71.75,57.71,5.80M,-11.88%
2019-12-01,66,60.73,68.99,60.3,4.45M,5.72%
2019-11-01,62.43,59.45,64.6,59.4,4.79M,3.65%
2019-10-01,60.23,59.38,62.34,56.15,5.61M,-0.90%
2019-09-01,60.78,58.8,71.95,57.23,5.63M,0.58%
2019-08-01,60.43,64.09,64.54,55.88,5.98M,-7.27%
2019-07-01,65.17,65.05,67.65,61.29,5.71M,-2.07%
2019-06-01,66.55,61.64,66.85,59.45,5.70M,3.19%
2019-05-01,64.49,71.73,73.4,64.37,6.13M,-11.41%
2019-04-01,72.8,67.58,75.6,67.58,5.49M,6.45%
2019-03-01,68.39,66.48,68.89,64.02,4.84M,3.57%
2019-02-01,66.03,61.06,67.73,60.46,4.55M,6.69%
2019-01-01,61.89,54.12,63.15,52.51,5.48M,15.04%
2018-12-01,53.8,59.98,63.73,49.93,4.73M,-8.36%
2018-11-01,58.71,74.69,74.99,57.5,6.26M,-22.21%
2018-10-01,75.47,82.79,86.74,75.09,6.90M,-8.76%
2018-09-01,82.72,77.69,82.87,75.64,4.69M,6.85%
2018-08-01,77.42,74.07,78.03,70.3,4.73M,4.27%
2018-07-01,74.25,78.55,79.51,71.19,5.56M,-6.53%
2018-06-01,79.44,77.71,79.7,72.45,5.97M,2.38%
2018-05-01,77.59,74.65,80.5,72.38,6.37M,3.22%
2018-04-01,75.17,69.32,75.47,66.69,6.23M,6.97%
2018-03-01,70.27,64.57,71.05,63.19,5.34M,6.83%
2018-02-01,65.78,69,70.02,61.76,5.66M,-4.74%
2018-01-01,69.05,66.55,71.28,66.24,5.48M,3.26%
2017-12-01,66.87,62.74,67.1,61.13,4.86M,5.19%
2017-11-01,63.57,61.07,64.65,60,6.25M,3.58%
2017-10-01,61.37,56.73,61.41,55.06,6.55M,6.66%
2017-09-01,57.54,52.84,59.49,51.99,5.05M,9.85%
2017-08-01,52.38,52.7,53.64,50,6.33M,-0.51%
2017-07-01,52.65,48.95,52.92,46.11,5.44M,9.87%
2017-06-01,47.92,51.17,51.45,44.35,6.85M,-4.75%
2017-05-01,50.31,51.88,54.67,46.64,7.34M,-2.75%
2017-04-01,51.73,53.62,56.65,50.45,5.47M,-2.08%
2017-03-01,52.83,56.45,57.05,49.71,6.24M,-4.96%
2017-02-01,55.59,55.55,57.45,54.44,5.08M,-0.20%
2017-01-01,55.7,57.05,58.37,53.58,5.55M,-1.97%
2016-12-01,56.82,51.72,57.89,51.51,5.16M,12.58%
2016-11-01,50.47,48.72,50.49,43.57,6.24M,4.49%
2016-10-01,48.3,50.02,53.73,47.98,5.41M,-1.55%
2016-09-01,49.06,46.98,50.14,45.09,5.44M,4.29%
2016-08-01,47.04,43.11,51.22,41.51,5.62M,10.79%
2016-07-01,42.46,49.9,50.75,41.8,4.89M,-14.53%
2016-06-01,49.68,49.65,52.86,46.69,5.06M,-0.02%
2016-05-01,49.69,47.37,50.51,43.33,5.50M,3.24%
2016-04-01,48.13,40.14,48.5,37.27,5.67M,21.54%
2016-03-01,39.6,36.6,42.54,35.95,5.29M,10.09%
2016-02-01,35.97,35.85,37,29.92,6.11M,3.54%
2016-01-01,34.74,37.85,38.99,27.1,5.13M,-6.81%
2015-12-01,37.28,44.62,45.18,35.98,4.34M,-16.43%
2015-11-01,44.61,49.5,50.91,43.15,4.64M,-9.99%
2015-10-01,49.56,48.4,54.05,46.41,4.60M,2.46%
2015-09-01,48.37,52.92,53.47,45.98,4.49M,-10.67%
2015-08-01,54.15,51.55,54.32,42.23,5.04M,3.72%
2015-07-01,52.21,63.02,63.35,51.63,4.72M,-17.90%
2015-06-01,63.59,65.59,66.36,60.94,4.82M,-3.00%
2015-05-01,65.56,66.78,69.63,61.24,4.28M,-1.83%
2015-04-01,66.78,55.18,66.93,54,4.36M,21.18%
2015-03-01,55.11,62.5,62.5,52.5,4.58M,-11.94%
2015-02-01,62.58,52.68,63,51.41,5.13M,18.10%
2015-01-01,52.99,58.02,58.54,45.19,5.06M,-7.57%
2014-12-01,57.33,70.15,73.03,55.81,4.14M,-18.28%
2014-11-01,70.15,85.85,86.4,69.78,4.42M,-18.30%
2014-10-01,85.86,94.77,96.23,82.6,4.87M,-9.31%
2014-09-01,94.67,102.95,103.3,94.24,3.92M,-8.26%
2014-08-01,103.19,105.6,106.85,101.07,3.40M,-2.67%
2014-07-01,106.02,112.5,112.83,104.39,4.16M,-5.64%
2014-06-01,112.36,109.7,115.71,107.77,3.92M,2.70%
2014-05-01,109.41,108.08,111.04,106.85,3.57M,1.24%
2014-04-01,108.07,107.66,110.65,103.95,3.72M,0.29%
2014-03-01,107.76,109.44,112.39,105.41,3.53M,-1.20%
2014-02-01,109.07,106.4,110.82,105.4,3.28M,2.51%
2014-01-01,106.4,111,111.35,105.44,3.92M,-3.97%
2013-12-01,110.8,109.6,113.02,107.8,3.10M,1.01%
2013-11-01,109.69,109.05,111.66,102.98,4.18M,0.78%
2013-10-01,108.84,108.38,112,106.27,4.40M,0.43%
2013-09-01,108.37,114,116.56,107.22,3.54M,-4.95%
2013-08-01,114.01,107.81,117.34,105.85,4.05M,5.86%
2013-07-01,107.7,101.9,109.72,101.63,4.01M,5.42%
2013-06-01,102.16,100.15,106.67,99.66,3.89M,1.76%
2013-05-01,100.39,101.82,105.94,98.76,4.31M,-1.93%
2013-04-01,102.37,110.15,111.79,96.75,4.68M,-6.95%
2013-03-01,110.02,110.9,112.23,106.8,3.71M,-1.22%
2013-02-01,111.38,115.77,119.17,110.87,3.74M,-3.61%
2013-01-01,115.55,111.5,115.76,109.45,3.83M,4.00%
2012-12-01,111.11,110.96,112.33,106.63,2.73M,-0.11%
2012-11-01,111.23,108.49,112.2,104.76,3.99M,2.33%
2012-10-01,108.7,112.34,116.2,106.8,4.26M,-3.28%
2012-09-01,112.39,114.7,117.95,107.1,3.76M,-1.90%
2012-08-01,114.57,104.4,117.03,104.06,3.87M,9.20%
2012-07-01,104.92,97.6,108.18,95.3,4.21M,7.28%
2012-06-01,97.8,101.69,102.45,88.49,4.84M,-4.00%
2012-05-01,101.87,119.28,120.02,101.27,4.54M,-14.73%
2012-04-01,119.47,122.94,125.97,116.7,3.80M,-2.78%
2012-03-01,122.88,123,128.4,120.97,3.79M,0.18%
2012-02-01,122.66,111.3,125.55,111.02,3.83M,10.52%
2012-01-01,110.98,108.35,115.12,108.35,3.76M,3.35%
2011-12-01,107.38,110.75,111.62,102.37,2.68M,-2.84%
2011-11-01,110.52,109.09,116.48,105.65,4.26M,0.88%
2011-10-01,109.56,102,114.8,99.11,4.03M,6.62%
2011-09-01,102.76,114.85,116.6,101.66,4.08M,-10.53%
2011-08-01,114.85,117,120.4,98.74,4.95M,-1.62%
2011-07-01,116.74,111.8,119.87,109.5,3.29M,3.79%
2011-06-01,112.48,117.07,121.47,102.28,4.72M,-3.64%
2011-05-01,116.73,126.1,126.54,105.15,4.61M,-7.28%
2011-04-01,125.89,117.61,127.02,116.75,3.08M,7.27%
2011-03-01,117.36,111.9,118.5,107.35,3.76M,4.97%
2011-02-01,111.8,101.01,119.79,97.51,3.68M,10.68%
2011-01-01,101.01,94.75,101.73,92.37,3.58M,6.61%
2010-12-01,94.75,85.71,95.2,85.41,2.61M,10.28%
2010-11-01,85.92,83.13,89.7,82.43,3.58M,3.33%
2010-10-01,83.15,82.21,86.02,80.75,3.50M,1.02%
2010-09-01,82.31,74.46,82.4,74.42,3.24M,10.28%
2010-08-01,74.64,78.11,82.86,71.75,3.28M,-4.53%
2010-07-01,78.18,74.65,78.31,70.77,2.92M,4.23%
2010-06-01,75.01,74.82,79.86,70.5,3.38M,0.48%
2010-05-01,74.65,87.44,89.58,68.15,3.47M,-14.63%
2010-04-01,87.44,82.44,87.75,82.22,3.12M,5.73%
2010-03-01,82.7,77.69,82.82,76.21,3.38M,6.59%
2010-02-01,77.59,71.35,78.94,67.87,3.29M,8.58%
2010-01-01,71.46,78.49,82.45,71.02,2.81M,-8.30%
